City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,18.07,85,12,2.01,AU,1738416541
1,adrar,20.5022,-10.0711,22.18,13,0,8.18,MR,1738416543
2,nemuro,43.3236,145.575,-3.26,75,92,5.64,JP,1738416544
3,bilibino,68.0546,166.4372,-34.51,96,100,0.81,RU,1738416545
4,waitangi,-43.9535,-176.5597,16.01,94,100,1.79,NZ,1738416546
5,grytviken,-54.2811,-36.5092,7.54,81,24,6.21,GS,1738416547
6,launceston,-41.45,147.1667,17.8,77,7,6.69,AU,1738416549
7,misratah,32.3754,15.0925,18.97,40,0,10.85,LY,1738416550
8,kaifeng,34.7911,114.3483,3.04,58,100,0.66,CN,1738416552
9,afaahiti,-17.75,-149.2833,26.22,77,100,6.29,PF,1738416553
10,kataba,8.4604,-0.7732,38.02,10,6,0.73,GH,1738416555
11,kirov,58.5966,49.6601,-0.04,93,100,3.36,RU,1738416556
12,oranjemund,-28.55,16.4333,21.29,63,7,7.44,NA,1738416557
13,port-aux-francais,-49.35,70.2167,5.12,71,24,5.29,TF,1738416558
14,tura,25.5198,90.2201,16.69,38,0,1.75,IN,1738416559
15,iqaluit,63.7506,-68.5145,-25.15,70,40,8.23,CA,1738416560
16,chonchi,-42.6128,-73.8092,15.01,53,0,1.11,CL,1738416562
17,antsiranana,-12.2787,49.2917,27.42,83,40,6.17,MG,1738416563
18,ushuaia,-54.8,-68.3,12.81,62,75,3.09,AR,1738416061
19,bikenibeu village,1.3673,173.1241,26.54,81,99,7.57,KI,1738416565
20,yellowknife,62.456,-114.3525,-34.69,75,0,3.6,CA,1738416566
21,albany,42.6001,-73.9662,-7.43,72,96,0.89,US,1738416381
22,chissamba,-12.1667,17.3333,21.85,82,99,1.33,AO,1738416569
23,bredasdorp,-34.5322,20.0403,25.63,54,20,7.3,ZA,1738416570
24,at taj,24.2049,23.2857,22.57,16,100,3.02,LY,1738416571
25,west island,-12.1568,96.8225,26.99,83,98,7.72,CC,1738416572
26,lihue,21.9789,-159.3672,16.77,94,0,3.6,US,1738416574
27,tarakan,3.3,117.6333,27.4,77,100,4.33,ID,1738416575
28,moyale,3.5167,39.0584,32.4,15,0,4.3,KE,1738416576
29,mangrol,21.1167,70.1167,21.58,59,3,6.18,IN,1738416577
30,anadyr,64.75,177.4833,-17.72,78,100,2.0,RU,1738416578
31,brookings,44.3114,-96.7984,-1.01,77,100,10.29,US,1738416478
32,olonkinbyen,70.9221,-8.7187,0.39,92,100,20.35,SJ,1738416320
33,fada,7.25,4.0667,37.17,30,34,1.57,NG,1738416582
34,hawaiian paradise park,19.5933,-154.9731,21.05,100,0,2.06,US,1738416583
35,dedza,-14.3779,34.3332,21.07,81,88,0.88,MW,1738416584
36,trincomalee,8.5711,81.2335,26.88,80,6,4.34,LK,1738416585
37,hithadhoo,-0.6,73.0833,28.16,78,100,4.22,MV,1738416586
38,cabo san lucas,22.8909,-109.9124,13.2,64,0,4.12,MX,1738416588
39,portland,45.5234,-122.6762,4.49,95,100,4.12,US,1738416570
40,magdagachi,53.45,125.8,-19.12,100,99,0.3,RU,1738416590
41,nagqu,31.5,92.0,0.5,8,0,11.72,CN,1738416591
42,tiksi,71.6872,128.8694,-28.92,95,100,5.09,RU,1738416593
43,ciudad bolivar,8.1222,-63.5497,26.85,64,55,5.4,VE,1738416594
44,ghadamis,30.1337,9.5007,19.42,21,0,9.52,LY,1738416595
45,edinburgh of the seven seas,-37.0676,-12.3116,17.8,89,36,7.2,SH,1738416320
46,ancud,-41.8697,-73.8203,12.95,61,0,0.41,CL,1738416463
47,adamstown,-25.066,-130.1015,24.5,74,84,7.89,PN,1738416599
48,turiacu,-1.6633,-45.3717,28.44,71,75,2.4,BR,1738416600
49,oneonta,42.4529,-75.0638,-13.25,93,100,5.61,US,1738416601
50,pauini,-7.7136,-66.9764,26.35,82,99,1.05,BR,1738416602
51,berdigestyakh,62.0989,126.6992,-28.83,100,100,0.88,RU,1738416603
52,muktsar,30.4833,74.5167,15.97,22,0,2.77,IN,1738416605
53,tazacorte,28.629,-17.9293,20.08,74,40,6.69,ES,1738416606
54,kalmunai,7.4167,81.8167,25.57,85,3,3.63,LK,1738416607
55,badger,64.8,-147.5333,-21.68,74,100,0.0,US,1738416608
56,longyearbyen,78.2186,15.6401,-1.09,69,20,8.23,SJ,1738416606
57,la passe,45.5549,-0.8967,8.87,71,3,3.63,FR,1738416610
58,velikiy ustyug,60.7644,46.3106,0.49,99,100,1.54,RU,1738416612
59,guerrero negro,27.9769,-114.0611,11.74,58,1,2.46,MX,1738416613
60,ust-nera,64.5667,143.2,-37.39,100,100,0.86,RU,1738416614
61,kuta,-8.7233,115.1723,26.97,89,20,2.57,ID,1738416615
62,avarua,-21.2078,-159.775,26.03,94,96,1.03,CK,1738416617
63,alotau,-10.3069,150.4462,26.62,85,95,1.82,PG,1738416618
